"symbol","div_or_split","record_date","payment_date","amount","description"
"TPR","dividend","2021-09-07 00:00:00","2021-09-27 00:00:00",0.25,"Ordinary Shares"
"TPR","dividend","2021-12-03 00:00:00","2021-12-27 00:00:00",0.25,"Ordinary Shares"
"TPR","dividend","2022-03-04 00:00:00","2022-03-28 00:00:00",0.25,"Ordinary Shares"
"TPR","dividend","2022-06-03 00:00:00","2022-06-27 00:00:00",0.25,"Ordinary Shares"
"TQQQ","dividend","2020-12-24 00:00:00","2020-12-31 00:00:00",0.000283,"ProShares UltraPro QQQ"
"TQQQ","split","2021-12-23 00:00:00","2022-01-13 00:00:00",0.5,"ProShares UltraPro QQQ"
"TRCH","split","2021-06-18 00:00:00","2021-06-23 00:00:00",0.5,"Ordinary Shares"
"TRGP","dividend","2021-10-29 00:00:00","2021-11-15 00:00:00",0.1,"Ordinary Shares"
"TRGP","dividend","2022-01-31 00:00:00","2022-02-15 00:00:00",0.35,"Ordinary Shares"
"TRGP","dividend","2022-04-29 00:00:00","2022-05-16 00:00:00",0.35,"Ordinary Shares"
"TROW","dividend","2021-12-16 00:00:00","2021-12-30 00:00:00",1.08,"Ordinary Shares"
"TROW","dividend","2022-03-15 00:00:00","2022-03-30 00:00:00",1.2,"Ordinary Shares"
"TROW","dividend","2022-06-15 00:00:00","2022-06-29 00:00:00",1.2,"Ordinary Shares"
"TRP","dividend","2021-03-31 00:00:00","2021-04-30 00:00:00",0.6909148665819568,"Ordinary Shares"
"TRP","dividend","2021-06-30 00:00:00","2021-07-30 00:00:00",0.7038550220460337,"Ordinary Shares"
"TRP","dividend","2021-09-30 00:00:00","2021-10-29 00:00:00",0.6786324386305665,"Ordinary Shares"
"TRP","dividend","2021-12-31 00:00:00","2022-01-31 00:00:00",0.0,"Ordinary Shares"
"TRP","dividend","2022-03-31 00:00:00","2022-04-29 00:00:00",0.7176461207240252,"Ordinary Shares"
"TRP","dividend","2022-06-30 00:00:00","2022-07-29 00:00:00",0.0,"Ordinary Shares"
"TRTN","dividend","2021-12-09 00:00:00","2021-12-23 00:00:00",0.65,"Ordinary Shares"
"TRTN","dividend","2022-03-11 00:00:00","2022-03-25 00:00:00",0.65,"Ordinary Shares"
"TRTN","dividend","2022-06-09 00:00:00","2022-06-23 00:00:00",0.65,"Ordinary Shares"
"TRU","dividend","2020-11-25 00:00:00","2020-12-10 00:00:00",0.07500000298023224,"Ordinary Shares"
"TRU","dividend","2021-03-11 00:00:00","2021-03-26 00:00:00",0.075,"Ordinary Shares"
"TRU","dividend","2021-05-26 00:00:00","2021-06-10 00:00:00",0.095,"Ordinary Shares"
"TRU","dividend","2021-08-25 00:00:00","2021-09-09 00:00:00",0.095,"Ordinary Shares"
"TRU","dividend","2021-11-24 00:00:00","2021-12-09 00:00:00",0.095,"Ordinary Shares"
"TRU","dividend","2022-03-10 00:00:00","2022-03-25 00:00:00",0.095,"Ordinary Shares"
"TRU","dividend","2022-05-27 00:00:00","2022-06-10 00:00:00",0.095,"Ordinary Shares"
"TRV","dividend","2021-12-10 00:00:00","2021-12-31 00:00:00",0.88,"Ordinary Shares"
"TRV","dividend","2022-03-10 00:00:00","2022-03-31 00:00:00",0.88,"Ordinary Shares"
"TRV","dividend","2022-06-10 00:00:00","2022-06-30 00:00:00",0.93,"Ordinary Shares"
"TSCO","dividend","2020-11-23 00:00:00","2020-12-08 00:00:00",0.4,"Ordinary Shares"
"TSCO","dividend","2021-02-22 00:00:00","2021-03-09 00:00:00",0.52,"Ordinary Shares"
"TSCO","dividend","2021-05-24 00:00:00","2021-06-08 00:00:00",0.52,"Ordinary Shares"
"TSCO","dividend","2021-08-23 00:00:00","2021-09-08 00:00:00",0.52,"Ordinary Shares"
"TSCO","dividend","2021-11-22 00:00:00","2021-12-08 00:00:00",0.52,"Ordinary Shares"
"TSCO","dividend","2022-02-21 00:00:00","2022-03-08 00:00:00",0.92,"Ordinary Shares"
"TSCO","dividend","2022-05-25 00:00:00","2022-06-08 00:00:00",0.92,"Ordinary Shares"
"TSLA","split","2020-08-31 00:00:00","2020-08-31 00:00:00",0.2,"5-for-1-split"
"TSLX","dividend","2021-12-07 00:00:00","2021-12-20 00:00:00",0.5,"Ordinary Shares"
"TSLX","dividend","2021-11-30 00:00:00","2021-12-31 00:00:00",0.07,"Ordinary Shares"
"TSLX","dividend","2021-12-15 00:00:00","2022-01-14 00:00:00",0.41,"Ordinary Shares"
"TSLX","dividend","2022-02-28 00:00:00","2022-03-31 00:00:00",0.11,"Ordinary Shares"
"TSLX","dividend","2022-03-15 00:00:00","2022-04-18 00:00:00",0.41,"Ordinary Shares"
"TSLX","dividend","2022-05-31 00:00:00","2022-06-30 00:00:00",0.04,"Ordinary Shares"
"TSLX","dividend","2022-06-15 00:00:00","2022-07-15 00:00:00",0.41,"Ordinary Shares"
"TSM","dividend","2020-06-19 00:00:00","2020-07-16 00:00:00",0.423872,"ADR"
"TSM","dividend","2020-09-18 00:00:00","2020-10-15 00:00:00",0.426577,"ADR"
"TSM","dividend","2020-12-18 00:00:00","2021-01-14 00:00:00",0.442227,"ADR"
"TSM","dividend","2021-06-18 00:00:00","2021-07-15 00:00:00",0.451263,"ADR"
"TSM","dividend","2021-09-17 00:00:00","2021-10-14 00:00:00",0.495781,"ADR"
"TSM","dividend","2021-12-17 00:00:00","2022-01-13 00:00:00",0.495978,"ADR"
"TSM","dividend","2022-03-17 00:00:00","2022-04-14 00:00:00",0.489672,"ADR"
