timestamp,symbol,vwap,delayed_trade_date
2022-06-27 18:00:00,MPC,87.744771,2022-06-27
2022-06-27 19:00:00,MPC,88.061173,2022-06-27
2022-06-28 13:00:00,MPC,90.301406,2022-06-28
2022-06-28 14:00:00,MPC,90.306696,2022-06-28
2022-06-28 15:00:00,MPC,89.384497,2022-06-28
2022-06-28 16:00:00,MPC,88.520694,2022-06-28
2022-06-28 17:00:00,MPC,88.003903,2022-06-28
2022-06-28 18:00:00,MPC,88.20495,2022-06-28
2022-06-28 19:00:00,MPC,88.69471,2022-06-28
2022-06-29 13:00:00,MPC,88.671291,2022-06-29
2022-06-29 14:00:00,MPC,87.108039,2022-06-29
2022-06-29 15:00:00,MPC,85.367317,2022-06-29
2022-06-29 16:00:00,MPC,84.878668,2022-06-29
2022-06-29 17:00:00,MPC,84.695213,2022-06-29
2022-06-29 18:00:00,MPC,84.946428,2022-06-29
2022-06-29 19:00:00,MPC,84.577732,2022-06-29
2022-06-30 13:00:00,MPC,83.287522,2022-06-30
2022-06-30 14:00:00,MPC,83.132117,2022-06-30
2022-06-30 15:00:00,MPC,82.673905,2022-06-30
2022-06-30 16:00:00,MPC,82.948122,2022-06-30
2022-06-30 17:00:00,MPC,82.929272,2022-06-30
2022-06-30 18:00:00,MPC,82.440404,2022-06-30
2022-06-30 19:00:00,MPC,81.976472,2022-06-30
2022-07-01 13:00:00,MPC,83.37855,2022-07-01
2022-07-01 14:00:00,MPC,81.985212,2022-07-01
2022-07-01 15:00:00,MPC,82.359467,2022-07-01
2022-07-01 16:00:00,MPC,83.165004,2022-07-01
2022-07-01 17:00:00,MPC,83.63782,2022-07-01
2022-07-01 18:00:00,MPC,84.009951,2022-07-01
2022-07-01 19:00:00,MPC,84.54763,2022-07-01
2022-07-05 12:00:00,MPC,83.66,2022-07-05
2022-07-05 13:00:00,MPC,82.703779,2022-07-05
2022-07-05 14:00:00,MPC,81.446745,2022-07-05
2022-07-05 15:00:00,MPC,80.300954,2022-07-05
2022-07-05 16:00:00,MPC,80.167406,2022-07-05
2022-07-05 17:00:00,MPC,79.938873,2022-07-05
2022-07-05 18:00:00,MPC,80.733469,2022-07-05
2022-07-05 19:00:00,MPC,81.391431,2022-07-05
2022-07-06 13:00:00,MPC,81.14932,2022-07-06
2022-07-06 14:00:00,MPC,79.034895,2022-07-06
2022-07-06 15:00:00,MPC,78.170792,2022-07-06
2022-07-06 16:00:00,MPC,78.19239,2022-07-06
2022-07-06 17:00:00,MPC,78.83917,2022-07-06
2022-07-06 18:00:00,MPC,79.112119,2022-07-06
2022-07-06 19:00:00,MPC,79.380937,2022-07-06
2022-07-07 13:00:00,MPC,82.617742,2022-07-07
2022-07-07 14:00:00,MPC,82.874544,2022-07-07
2022-07-07 15:00:00,MPC,83.264025,2022-07-07
2022-07-07 16:00:00,MPC,83.51619,2022-07-07
2022-07-07 17:00:00,MPC,83.495083,2022-07-07
2022-07-07 18:00:00,MPC,83.706086,2022-07-07
2022-07-07 19:00:00,MPC,83.662212,2022-07-07
2022-07-08 13:00:00,MPC,83.554536,2022-07-08
2022-07-08 14:00:00,MPC,83.399557,2022-07-08
2022-07-08 15:00:00,MPC,83.483255,2022-07-08
2022-07-08 16:00:00,MPC,83.252361,2022-07-08
2022-07-08 17:00:00,MPC,83.189714,2022-07-08
2022-07-08 18:00:00,MPC,83.623658,2022-07-08
2022-07-08 19:00:00,MPC,83.603154,2022-07-08
2022-07-11 13:00:00,MPC,82.710877,2022-07-11
2022-07-11 14:00:00,MPC,82.493426,2022-07-11
2022-07-11 15:00:00,MPC,82.381346,2022-07-11
2022-07-11 16:00:00,MPC,82.969358,2022-07-11
2022-07-11 17:00:00,MPC,83.736689,2022-07-11
2022-07-11 18:00:00,MPC,83.415358,2022-07-11
2022-07-11 19:00:00,MPC,83.58042,2022-07-11
2022-07-12 13:00:00,MPC,82.063748,2022-07-12
2022-07-12 14:00:00,MPC,82.179615,2022-07-12
2022-07-12 15:00:00,MPC,82.703745,2022-07-12
2022-07-12 16:00:00,MPC,82.530273,2022-07-12
2022-07-12 17:00:00,MPC,82.618558,2022-07-12
2022-07-12 18:00:00,MPC,82.907952,2022-07-12
2022-07-12 19:00:00,MPC,82.520992,2022-07-12
