eth_cust_address,address,symbol,target_position_value,date_time
0x23d3ce4abfcad7541a5a6e2c4a5251876264bd44,0x23d3ce4abFcaD7541A5A6e2c4a5251876264BD44,ADAUSDT,0.035,2022-04-18 22:01:06
0x23d3ce4abfcad7541a5a6e2c4a5251876264bd44,0x23d3ce4abFcaD7541A5A6e2c4a5251876264BD44,NXE,0,2022-04-18 22:01:06
0x244bad9bd4ec0985737704ca7cfe358aded5ad26,0x244BaD9bd4ec0985737704Ca7cfE358adEd5Ad26,SPXL,0.258,2021-12-31 00:48:40
0x244bad9bd4ec0985737704ca7cfe358aded5ad26,0x244BaD9bd4ec0985737704Ca7cfE358adEd5Ad26,UBS,0.217,2021-12-31 00:48:40
0x244bad9bd4ec0985737704ca7cfe358aded5ad26,0x244BaD9bd4ec0985737704Ca7cfE358adEd5Ad26,DQ,0.149,2021-12-31 00:48:40
0x24d12ce24cb83781993c2659055f417c171064e6,0x24d12ce24cb83781993c2659055f417c171064e6,BLANK,0,1970-01-01 05:00:00
0x27aff5e880054db98b57df85e3616ed783cffa97,0x27aff5e880054db98b57df85e3616ed783cffa97,BLANK,0,1970-01-01 05:00:00
0x27d2ef1c70714c9d7cf78dacec3df7014ff4215b,0x27d2ef1c70714c9d7cf78dacec3df7014ff4215b,BLANK,0,1970-01-01 05:00:00
0x27d38cf757b3eb581e7e66f7482d707a80d60db6,0x27d38cf757B3eb581E7e66F7482D707A80d60Db6,NOW,0.141,2021-12-31 04:00:18
0x27d38cf757b3eb581e7e66f7482d707a80d60db6,0x27d38cf757B3eb581E7e66F7482D707A80d60Db6,PLNT,0.130,2021-12-31 04:00:18
0x27d38cf757b3eb581e7e66f7482d707a80d60db6,0x27d38cf757B3eb581E7e66F7482D707A80d60Db6,ABNB,0.121,2021-12-31 04:00:18
0x27d38cf757b3eb581e7e66f7482d707a80d60db6,0x27d38cf757B3eb581E7e66F7482D707A80d60Db6,DASH,0.105,2021-12-31 04:00:18
0x27d38cf757b3eb581e7e66f7482d707a80d60db6,0x27d38cf757B3eb581E7e66F7482D707A80d60Db6,EA,0.098,2021-12-31 04:00:18
0x27d38cf757b3eb581e7e66f7482d707a80d60db6,0x27d38cf757B3eb581E7e66F7482D707A80d60Db6,CZR,0.090,2021-12-31 04:00:18
0x27d38cf757b3eb581e7e66f7482d707a80d60db6,0x27d38cf757B3eb581E7e66F7482D707A80d60Db6,BA,0.088,2021-12-31 04:00:18
0x27d38cf757b3eb581e7e66f7482d707a80d60db6,0x27d38cf757B3eb581E7e66F7482D707A80d60Db6,CHWY,0.086,2021-12-31 04:00:18
0x27d38cf757b3eb581e7e66f7482d707a80d60db6,0x27d38cf757B3eb581E7e66F7482D707A80d60Db6,BUD,0.083,2021-12-31 04:00:18
0x27d38cf757b3eb581e7e66f7482d707a80d60db6,0x27d38cf757B3eb581E7e66F7482D707A80d60Db6,ZM,0.056,2021-12-31 04:00:18
0x2b1e99461fdffed5b03c58b4764d39f8784ec4aa,0x2B1e99461fdFFEd5b03C58b4764d39F8784ec4aA,VGT,0.058,2021-12-31 07:16:43
0x2b1e99461fdffed5b03c58b4764d39f8784ec4aa,0x2B1e99461fdFFEd5b03C58b4764d39F8784ec4aA,AOA,0.053,2021-12-31 07:16:43
0x2b1e99461fdffed5b03c58b4764d39f8784ec4aa,0x2B1e99461fdFFEd5b03C58b4764d39F8784ec4aA,NFLX,0.051,2021-12-31 07:16:43
0x2b1e99461fdffed5b03c58b4764d39f8784ec4aa,0x2B1e99461fdFFEd5b03C58b4764d39F8784ec4aA,ABNB,0.034,2021-12-31 07:16:43
0x2b1e99461fdffed5b03c58b4764d39f8784ec4aa,0x2B1e99461fdFFEd5b03C58b4764d39F8784ec4aA,HLT,0.031,2021-12-31 07:16:43
0x2b1e99461fdffed5b03c58b4764d39f8784ec4aa,0x2B1e99461fdFFEd5b03C58b4764d39F8784ec4aA,BND,0.030,2021-12-31 07:16:43
0x2b1e99461fdffed5b03c58b4764d39f8784ec4aa,0x2B1e99461fdFFEd5b03C58b4764d39F8784ec4aA,EXPE,0.030,2021-12-31 07:16:43
0x2b1e99461fdffed5b03c58b4764d39f8784ec4aa,0x2B1e99461fdFFEd5b03C58b4764d39F8784ec4aA,SMOG,0.029,2021-12-31 07:16:43
0x2b1e99461fdffed5b03c58b4764d39f8784ec4aa,0x2B1e99461fdFFEd5b03C58b4764d39F8784ec4aA,SQ,0.021,2021-12-31 07:16:43
0x2b1e99461fdffed5b03c58b4764d39f8784ec4aa,0x2B1e99461fdFFEd5b03C58b4764d39F8784ec4aA,AY,0.020,2021-12-31 07:16:43
0x2b1e99461fdffed5b03c58b4764d39f8784ec4aa,0x2B1e99461fdFFEd5b03C58b4764d39F8784ec4aA,BOND,0.020,2021-12-31 07:16:43
0x2b1e99461fdffed5b03c58b4764d39f8784ec4aa,0x2B1e99461fdFFEd5b03C58b4764d39F8784ec4aA,TAN,0.017,2021-12-31 07:16:43
0x3443878002d4b390baad1ff63b532fc84c0e8cae,0x3443878002d4B390baaD1fF63b532fc84C0E8CaE,AAPL,0.180,2021-12-31 04:48:15
0x3443878002d4b390baad1ff63b532fc84c0e8cae,0x3443878002d4B390baaD1fF63b532fc84C0E8CaE,REGI,0.153,2021-12-31 04:48:15
0x3d48b9cf71e6b82f8aecb39c2998738d6a4a70be,0x3D48b9cf71E6B82F8AecB39c2998738d6a4A70Be,AAPL,0.754,2021-12-31 01:25:30
0x3d48b9cf71e6b82f8aecb39c2998738d6a4a70be,0x3D48b9cf71E6B82F8AecB39c2998738d6a4A70Be,TSLA,0.268,2021-12-31 01:25:30
0x3d48b9cf71e6b82f8aecb39c2998738d6a4a70be,0x3D48b9cf71E6B82F8AecB39c2998738d6a4A70Be,IAU,0.224,2021-12-31 01:25:30
0x3d48b9cf71e6b82f8aecb39c2998738d6a4a70be,0x3D48b9cf71E6B82F8AecB39c2998738d6a4A70Be,AAL,0.145,2021-12-31 01:25:30
0x3d48b9cf71e6b82f8aecb39c2998738d6a4a70be,0x3D48b9cf71E6B82F8AecB39c2998738d6a4A70Be,NCLH,0.126,2021-12-31 01:25:30
