symbol,market_entry_date,market_entry_date_time,vwap
GRUB,2022-03-01,2022-03-01 15:00:00+00:00,7.856413
GRUB,2022-03-02,2022-03-02 21:00:00+00:00,7.78
GRUB,2022-03-04,2022-03-04 16:00:00+00:00,6.074902
GRUB,2022-03-11,2022-03-11 21:00:00+00:00,6.720475
GRUB,2022-03-22,2022-03-22 14:00:00+00:00,6.720475
GRUB,2022-03-23,2022-03-23 18:00:00+00:00,6.720475
GRUB,2022-03-29,2022-03-29 19:00:00+00:00,6.720475
GRUB,2022-04-05,2022-04-05 15:00:00+00:00,6.720475
GRUB,2022-04-11,2022-04-11 20:00:00+00:00,6.720475
GRUB,2022-04-18,2022-04-18 14:00:00+00:00,6.720475
GRUB,2022-04-27,2022-04-27 19:00:00+00:00,6.720475
GRUB,2022-04-28,2022-04-28 20:00:00+00:00,6.720475
GRUB,2022-04-22,2022-04-22 16:00:00+00:00,6.720475
GRUB,2022-05-02,2022-05-02 23:00:00+00:00,6.720475
GRUB,2022-05-04,2022-05-04 16:00:00+00:00,6.720475
GRUB,2022-05-09,2022-05-09 20:00:00+00:00,6.720475
GRUB,2022-05-10,2022-05-10 18:00:00+00:00,6.720475
