eth_cust_address,address,chain,symbol,target_position_value,date_time,trade_id,date,delayed_trade_date_time,delayed_trade_date_closing_time,delayed_trade_date,timestamp,vwap,max_time_stamp,date_time_adj,ticker_date_time_rank,dta_rank,symbol_appearance_rank,dta_rank_prev,user_id,cash,usd_value,usd_value_prev,positions_usd,inception_return,gross_exposure_usd,long_exposure_usd,short_exposure_usd,net_exposure_usd,gross_exposure_percent,long_exposure_percent,short_exposure_percent,net_exposure_percent,gross_traded_usd,net_traded_usd,gross_traded_percent,net_traded_percent,unrealized_long_pnl,unrealized_short_pnl,unrealized_pnl,realized_long_pnl,realized_short_pnl,realized_pnl,total_long_pnl,total_short_pnl,total_pnl
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,MELI,0.02,2022-04-11 19:38:40,47,2022-04-11,2022-04-11 13:30:00,2022-04-11 20:00:00,2022-04-11,2022-04-11 20:00:00+00:00,0.0,,2022-04-11 20:00:00+00:00,1,12.0,3.0,11.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,TLT,0.15,2022-04-11 19:39:56,50,2022-04-11,2022-04-11 13:30:00,2022-04-11 20:00:00,2022-04-11,2022-04-11 20:00:00+00:00,0.0,,2022-04-11 20:00:00+00:00,1,12.0,3.0,11.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,GLD,0.03,2022-04-16 20:18:41,52,2022-04-16,2022-04-18 13:30:00,2022-04-18 20:00:00,2022-04-18,2022-04-18 14:00:00+00:00,0.0,,2022-04-18 14:00:00+00:00,1,13.0,4.0,12.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,TLT,0.15,2022-04-27 18:16:34,53,2022-04-27,2022-04-27 13:30:00,2022-04-27 20:00:00,2022-04-27,2022-04-27 19:00:00+00:00,0.0,,2022-04-27 19:00:00+00:00,1,15.0,4.0,14.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,GLD,0.025,2022-04-27 18:16:34,54,2022-04-27,2022-04-27 13:30:00,2022-04-27 20:00:00,2022-04-27,2022-04-27 19:00:00+00:00,0.0,,2022-04-27 19:00:00+00:00,1,15.0,5.0,14.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,GLD,0,2022-04-28 19:55:21,55,2022-04-28,2022-04-28 13:30:00,2022-04-28 20:00:00,2022-04-28,2022-04-28 20:00:00+00:00,0.0,,2022-04-28 20:00:00+00:00,1,16.0,6.0,15.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,FNV,0.01,2022-04-28 19:57:12,56,2022-04-28,2022-04-28 13:30:00,2022-04-28 20:00:00,2022-04-28,2022-04-28 20:00:00+00:00,0.0,,2022-04-28 20:00:00+00:00,1,16.0,4.0,15.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,MATIC,FB,0.22,2022-04-22 15:32:31,57,2022-04-22,2022-04-22 13:30:00,2022-04-22 20:00:00,2022-04-22,2022-04-22 16:00:00+00:00,0.0,,2022-04-22 16:00:00+00:00,1,14.0,4.0,13.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,MATIC,ETHUSD,0.075,2022-05-02 23:38:26,58,2022-05-02,2022-05-02 13:30:00,2022-05-02 20:00:00,2022-05-02,2022-05-02 23:00:00+00:00,2861.750175,2022-05-02 23:00:00+00:00,2022-05-02 23:00:00+00:00,1,17.0,7.0,16.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,MATIC,BTCUSD,0.05,2022-05-02 23:38:26,59,2022-05-02,2022-05-02 13:30:00,2022-05-02 20:00:00,2022-05-02,2022-05-02 23:00:00+00:00,38618.847203,2022-05-02 23:00:00+00:00,2022-05-02 23:00:00+00:00,1,17.0,3.0,16.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
