,trade_id,address,chain,symbol,target_position_value,entry_date_time,next_market_open,market_entry_date_time,market_entry_date,vwap,post_cumulative_share_count,realized_profit,prior_portfolio_value,current_position,prior_position_value,cash_used,share_count,prior_cumulative_share_count,adjusted_entry
1830,255,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,V,0.0,2022-03-09 18:06:22,2022-03-09 14:30:00,2022-03-09 19:00:00,2022-03-09,199.251837,0.0,0.0,10187.470525356632,0.0,261.1990427377319,261.1990427377319,-1.3108990444978024,1.3108990444978024,0.0
1837,256,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,SWK,0.0,2022-03-09 18:06:22,2022-03-09 14:30:00,2022-03-09 19:00:00,2022-03-09,154.318924,0.0,0.0,10187.470525356632,0.0,165.1860703948152,165.1860703948152,-1.070420050329117,1.070420050329117,0.0
1844,257,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,SWIM,0.0,2022-03-09 18:06:22,2022-03-09 14:30:00,2022-03-09 19:00:00,2022-03-09,14.868893,0.0,0.0,10187.470525356632,0.0,180.20703741530943,180.20703741530943,-12.119734630904226,12.119734630904226,0.0
1851,258,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,MJ,407.4988210142653,2022-03-09 18:06:22,2022-03-09 14:30:00,2022-03-09 19:00:00,2022-03-09,9.058205,44.98670774334046,71.12277030111221,10187.470525356632,407.4988210142652,175.65714497595968,-231.8416760383056,25.59465987337509,19.392047869965374,0.0
1858,259,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,AVID,0.0,2022-03-09 18:06:22,2022-03-09 14:30:00,2022-03-09 19:00:00,2022-03-09,28.986906,0.0,0.0,10187.470525356632,0.0,160.967034423449,160.967034423449,-5.553094711917478,5.553094711917478,0.0
1865,260,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,CVNA,203.74941050713264,2022-03-09 18:06:22,2022-03-09 14:30:00,2022-03-09 19:00:00,2022-03-09,115.031502,1.7712488054544626,-15.40741674160468,10187.470525356632,203.74941050713264,144.84225550929042,-58.90715499784221,0.5120958517766917,1.259152953677771,0.0
1872,261,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,CGC,203.74941050713264,2022-03-09 18:06:22,2022-03-09 14:30:00,2022-03-09 19:00:00,2022-03-09,6.573821,30.994061217537357,12.209955446342768,10187.470525356632,203.74941050713264,124.53341821659784,-79.2159922905348,12.050220456342636,18.94384076119472,0.0
1879,262,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,CRM,0.0,2022-03-09 18:06:22,2022-03-09 14:30:00,2022-03-09 19:00:00,2022-03-09,203.379467,-1.1102230246251565e-16,0.0,10187.470525356632,0.0,139.86971920181585,139.86971920181585,-0.6877278285020575,0.6877278285020574,0.0
1886,263,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,CIEN,152.81205788034947,2022-03-09 18:06:22,2022-03-09 14:30:00,2022-03-09 19:00:00,2022-03-09,59.704739,2.5594627903883724,-5.001873668983899,10187.470525356632,152.81205788034947,94.04303586664288,-58.76902201370659,0.9843275927176667,1.5751351976707055,0.0
1893,264,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,TSLA,152.81205788034947,2022-03-09 18:06:22,2022-03-09 14:30:00,2022-03-09 19:00:00,2022-03-09,854.774472,0.17877470945382828,37.94661721198636,10187.470525356632,152.81205788034947,93.77157993028281,-59.04047795006666,0.06907140992632109,0.10970329952750721,0.0
1900,265,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,KYMR,0.0,2022-03-09 18:06:22,2022-03-09 14:30:00,2022-03-09 19:00:00,2022-03-09,39.180551,0.0,0.0,10187.470525356632,0.0,65.42979520267193,65.42979520267193,-1.669955973887961,1.669955973887961,0.0
1907,266,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,SE,0.0,2022-03-09 18:06:22,2022-03-09 14:30:00,2022-03-09 19:00:00,2022-03-09,99.599929,0.0,0.0,10187.470525356632,0.0,70.33838329359135,70.33838329359135,-0.7062091710285391,0.7062091710285391,0.0
1914,267,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,ARVN,0.0,2022-03-09 18:06:22,2022-03-09 14:30:00,2022-03-09 19:00:00,2022-03-09,69.334241,0.0,0.0,10187.470525356632,0.0,42.413430051489925,42.413430051489925,-0.6117241559115059,0.6117241559115059,0.0
1921,268,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,FSLY,0.0,2022-03-09 18:06:22,2022-03-09 14:30:00,2022-03-09 19:00:00,2022-03-09,15.444725,0.0,0.0,10187.470525356632,0.0,33.35597599039668,33.35597599039668,-2.1597002206511724,2.1597002206511724,0.0
1928,269,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,CCCC,0.0,2022-03-09 18:06:22,2022-03-09 14:30:00,2022-03-09 19:00:00,2022-03-09,24.203479,0.0,0.0,10187.470525356632,0.0,28.922147631598662,28.922147631598662,-1.1949582798240972,1.1949582798240972,0.0
1936,270,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,SPY,-1528.1205788034947,2022-03-09 18:06:22,2022-03-09 14:30:00,2022-03-09 19:00:00,2022-03-09,427.451043,-3.5749604634921774,-12.094477343724067,10187.470525356632,-1528.1205788034947,-1002.5823856391439,525.5381931643508,-1.229469904847912,-2.3454905586442654,0.0
1945,271,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,IWM,-1528.1205788034947,2022-03-09 18:06:22,2022-03-09 14:30:00,2022-03-09 19:00:00,2022-03-09,199.95896,-7.642171067520529,-41.61326452942894,10187.470525356632,-1528.1205788034947,-1284.45376406159,243.66681474190477,-1.2185841271724196,-6.423586940348109,0.0
