,id,corporate_action_id,ca_type,ca_sub_type,initiating_symbol,initiating_original_cusip,target_symbol,target_original_cusip,record_date,cash,old_rate,new_rate,ex_date
165,278d12a6-f837-4ddb-9b49-264b87ad9475,2345144,merger,merger_completion,,,,,,3.97,1,0,
166,b14e494e-63a7-4c29-9994-246f790d7f53,2345397,merger,merger_completion,PSX,718546104,PSXP,718549207,,0,1,0.5,
167,be797d37-73b2-4be8-af32-ae8d6649b706,2345839,merger,merger_completion,TRSSF,88105E108,,,,0,1,0.3001,
168,098fc415-f58e-443f-a39b-fb0b68f4ee71,2345844,merger,merger_completion,TRSSF,88105E108,GAEGF,362656407,,0,1,0.3001,
169,8b27dbe8-dcb1-45d5-84ba-437c3ba8decd,2345888,merger,merger_completion,BRBR.WI,07831C103,BRBR,079823100,,2.97,1,1,
170,7352b2c3-cd60-4275-a073-b62f1684c8a9,2346169,merger,merger_completion,PFE,717081103,ARNA,040047102,,100,1,0,
171,55955d4e-5591-432b-b237-b724e8951e0b,2346272,merger,merger_completion,NCMGF,Q6651B114,PVG,74139C102,,0,1,0,2022-01-18
172,876bb2db-0974-4a1f-8362-f5965eba94e6,2346274,merger,merger_completion,NCMGF,Q6651B114,PVG,74139C102,,0,1,0,2022-01-18
173,362507c5-ea15-45a2-bb63-00ba27489c8c,2346276,merger,merger_completion,NCMGF,Q6651B114,PVG,74139C102,,0,1,0,2022-01-18
174,a72ea335-aacd-4d1e-aa51-1ff6cb3b5b4d,2346880,merger,merger_completion,,,KRA,50077C106,,46.5,1,0,
175,f0e98a03-71ed-4ac8-8b8c-0d8f20c4fb39,2347049,merger,merger_completion,PATK,703343103,ROFO,77316P101,,0,1,0,
176,aa580591-60fd-441f-9e95-4f35503eaf5e,2347280,merger,merger_completion,,,HXOH,42830K103,,30,1,0,
177,0b9e555f-9e6c-4b3e-a723-200150f5c814,2347997,merger,merger_completion,ALLG,84677R106,,,,0,1,1,
178,78ffc312-d004-4419-9af4-4d0a96934f03,2347999,merger,merger_completion,ALLG,84677R106,,,,0,1,0,
179,297ae857-d100-4bb4-95c1-55a542e36514,2348625,merger,merger_completion,,,TNRK,872595103,,12.63,1,0,
180,58c43ea8-0378-4346-80f4-7254cb4a18d7,2348499,merger,merger_completion,,,FRTA,34960W106,,24,1,0,
181,2dc22a32-3238-4829-b627-1bf4533088f6,2348461,merger,merger_completion,PGRU,G1355V103,,,,0,1,1,
182,9c70f485-939d-45a0-8ecc-58f839fcbba0,2348623,merger,merger_update,,,TNRK,872595103,,12.63,1,0,
183,8428f2fc-d8f2-48ff-9495-856bcdf97529,2348938,merger,merger_completion,,,MOTV,G6293A103,,0,1,1,
184,ca859fb1-05f0-4f30-95e4-7394b411f4d4,2349307,merger,merger_completion,CHGX,26922A560,,,,0,1,1,
185,d34913d3-8789-4658-accc-6e59f03ec924,2349102,merger,merger_completion,FRGE,G6293A103,,,,0,1,0,
186,5677b0ad-436f-4b24-8e14-9cc43226d385,2367301,merger,merger_completion,ILVEX,19766Q866,MDIVX,572353332,,0,1,0.83088,
187,d0122748-783e-4ae4-9d96-a9a2f96c8485,2367302,merger,merger_completion,ILVEX,19766Q866,MLVIX,572353563,,0,1,0.9968,
188,2449aae4-0248-4261-b2a0-63cae06d88e0,2367311,merger,merger_completion,ILVHX,19766Q833,BLCRX,09658W568,,0,1,1.01351,
189,49d590a9-da00-4e8c-958b-bc5055513d1d,2367319,merger,merger_completion,ILGCX,19766Q106,MASTX,572353704,,0,1,0.9932,
190,26e5865f-d747-47ec-bccf-ab8d3038a9ec,2367314,merger,merger_completion,USMDX,19766J227,MUISX,572353415,,0,1,1,
191,de321b5a-45f9-482f-924d-526be159b3fb,2367316,merger,merger_completion,ILGFX,19766Q403,MLCIX,572353555,,0,1,0.99044,
192,d24d1c04-b15b-4b6a-93d6-38b4772b3ef0,2367317,merger,merger_completion,ISGLX,19766Q718,MSGIX,572353522,,0,1,0.97299,
193,b86cbe95-93c4-49b6-a040-386c435e291c,2367318,merger,merger_completion,ILGJX,19766Q700,BLGRX,09658W576,,0,1,0.99048,
194,6eb234b4-b3f4-4066-896d-6306471b108e,2367294,merger,merger_update,ILGCX,19766Q106,MASTX,572353704,,0,1,0.9932,
195,1a6bd912-479e-4acb-82ba-f849be5d7769,2367289,merger,merger_update,ILVEX,19766Q866,MDIVX,572353332,,0,1,0.83088,
196,3820e93f-ccd5-4a8e-a583-df2f3be14e01,2367293,merger,merger_update,ILVEX,19766Q866,MLVIX,572353563,,0,1,0.9968,
197,4ca243bb-fac3-4856-a7fd-f65d052373c2,2367292,merger,merger_update,ILGJX,19766Q700,BLGRX,09658W576,,0,1,0.99048,
198,74a8907a-8e4e-498f-a78f-048ad9919aa1,2367290,merger,merger_update,ISGLX,19766Q718,MSGIX,572353522,,0,1,0.97299,
199,fe89eb3b-2871-474a-b5cf-397288a1b44c,2367304,merger,merger_update,ILVHX,19766Q833,BLCRX,09658W568,,0,1,1.01351,
200,8b0a0b77-33a9-4e33-b0d5-e40706db519f,2367286,merger,merger_update,USMDX,19766J227,MUISX,572353415,,0,1,1,
201,9fa215ff-1a00-4280-be65-c8be4cc6a908,2367288,merger,merger_update,ILGFX,19766Q403,MLCIX,572353555,,0,1,0.99044,
202,16d5a62e-6410-4420-aa95-9512a7917cb3,2368290,merger,merger_completion,ILVEX,19766Q866,MLVEX,572353241,,0,1,0.73741,
0,8428f2fc-d8f2-48ff-9495-856bcdf97529,2348938,merger,merger_completion,,,MOTV,G6293A103,,0,1,1,
1,ec60247c-e3d4-41f9-9465-2a178b22330e,2349103,merger,merger_completion,,,,,,0,1,1.2,
